StudyStartDate;StudyEndDate;FirstAuthor;DOI;AdditionalDetails;City;Country;GeographicalRegion;methods;platform;StringencyIndex;NO2_prcnt_change;NO2_prcnt_change_er;NO2_ugm3_Reference_avg;NO2_ugm3_Reference_sd;NO2_ugm3_Lockdown_avg;NO2_ugm3_Lockdown_sd;NOX_prcnt_change;NOX_prcnt_change_er;NOX_ugm3_Reference_avg;NOX_ugm3_Reference_sd;NOX_ugm3_Lockdown_avg;NOX_ugm3_Lockdown_sd;CO_prcnt_change;CO_prcnt_change_er;CO_mgm3_Reference_avg;CO_mgm3_Reference_sd;CO_mgm3_Lockdown_avg;CO_mgm3_Lockdown_sd;PM25_prcnt_change;PM25_prcnt_change_er;PM25_ugm3_Reference_avg;PM25_ugm3_Reference_sd;PM25_ugm3_Lockdown_avg;PM25_ugm3_Lockdown_sd;PM10_prcnt_change;PM10_prcnt_change_er;PM10_ugm3_Reference_avg;PM10_ugm3_Reference_sd;PM10_ugm3_Lockdown_avg;PM10_ugm3_Lockdown_sd;O3_prcnt_change;O3_prcnt_change_er;O3_ugm3_Reference_avg;O3_ugm3_Reference_sd;O3_ugm3_Lockdown_avg;O3_ugm3_Lockdown_sd;SO2_prcnt_change;SO2_prcnt_change_er;SO2_ugm3_Reference_avg;SO2_ugm3_Reference_sd;SO2_ugm3_Lockdown_avg;SO2_ugm3_Lockdown_sd;NH3_prcnt_change;NH3_prcnt_change_er;NH3_ugm3_Reference_avg;NH3_ugm3_Reference_sd;NH3_ugm3_Lockdown_avg;NH3_ugm3_Lockdown_sd;NMVOCS_prcnt_change;NMVOCS_prcnt_change_er;NMVOCS_ugm3_Reference_avg;NMVOCS_ugm3_Reference_sd;NMVOCS_ugm3_Lockdown_avg;NMVOCS_ugm3_Lockdown_sd;AOD_prcnt_change;AOD_prcnt_change_er;AOD_Reference_avg;AOD_Reference_sd;AOD_Lockdown_avg;AOD_Lockdown_sd;BC_prcnt_change;BC_prcnt_change_er;BC_ugm3_Reference_avg;BC_ugm3_Reference_sd;BC_ugm3_Lockdown_avg;BC_ugm3_Lockdown_sd;AQI_prcnt_change;AQI_prcnt_change_er;AQI_Reference_avg;AQI_Reference_sd;AQI_Lockdown_avg;AQI_Lockdown_sd;BCFF_prcnt_change;BCFF_prcnt_change_er;BCFF_ugm3_Reference_avg;BCFF_ugm3_Reference_sd;BCFF_ugm3_Lockdown_avg;BCFF_ugm3_Lockdown_sd;BCWB_prcnt_change;BCWB_prcnt_change_er;BCWB_ugm3_Reference_avg;BCWB_ugm3_Reference_sd;BCWB_ugm3_Lockdown_avg;BCWB_ugm3_Lockdown_sd;NO3_prcnt_change;NO3_prcnt_change_er;NO3_ugm3_Reference_avg;NO3_ugm3_Reference_sd;NO3_ugm3_Lockdown_avg;NO3_ugm3_Lockdown_sd;SO4_prcnt_change;SO4_prcnt_change_er;SO4_ugm3_Reference_avg;SO4_ugm3_Reference_sd;SO4_ugm3_Lockdown_avg;SO4_ugm3_Lockdown_sd;OM_prcnt_change;OM_prcnt_change_er;OM_ugm3_Reference_avg;OM_ugm3_Reference_sd;OM_ugm3_Lockdown_avg;OM_ugm3_Lockdown_sd;PM1_prcnt_change;PM1_prcnt_change_er;PM1_ugm3_Reference_avg;PM1_ugm3_Reference_sd;PM1_ugm3_Lockdown_avg;PM1_ugm3_Lockdown_sd;BBOA_prcnt_change;BBOA_prcnt_change_er;BBOA_ugm3_Reference_avg;BBOA_ugm3_Reference_sd;BBOA_ugm3_Lockdown_avg;BBOA_ugm3_Lockdown_sd;HOA_prcnt_change;HOA_prcnt_change_er;HOA_ugm3_Reference_avg;HOA_ugm3_Reference_sd;HOA_ugm3_Lockdown_avg;HOA_ugm3_Lockdown_sd;OOA_prcnt_change;OOA_prcnt_change_er;OOA_ugm3_Reference_avg;OOA_ugm3_Reference_sd;OOA_ugm3_Lockdown_avg;OOA_ugm3_Lockdown_sd
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Chengdu;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-14.5;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Chonqing;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-27;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Dalian;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-31.5;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Dongguan;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-25;13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Foshan;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-42.5;10.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Guangzhou;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-43;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Jinan;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-66;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Nanjing;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-53;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Qingdao;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-48.5;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Shanghai;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-20;14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Shenyang;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-40.5;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Tianjin;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-41.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Wuhan;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-50;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Xian;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-56.5;9.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-11;2020-03-03;Bauwens, M.;10.1029/2020GL087978;;Zhengzhou;China;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;77.48;-58.5;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-23;2020-03-15;Bauwens, M.;10.1029/2020GL087978;;Milan;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;75.21;-31;11.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-23;2020-03-15;Bauwens, M.;10.1029/2020GL087978;;Venice;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;75.21;-33;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-13;2020-04-03;Bauwens, M.;10.1029/2020GL087978;;Madrid;Spain;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;73.09;-25;16.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-13;2020-04-03;Bauwens, M.;10.1029/2020GL087978;;Barcelona;Spain;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;73.09;-31.5;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-17;2020-04-07;Bauwens, M.;10.1029/2020GL087978;;Paris;France;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;87.96;-28;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-17;2020-04-07;Bauwens, M.;10.1029/2020GL087978;;Brussels;Belgium;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;79.33;-20;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-23;2020-04-13;Bauwens, M.;10.1029/2020GL087978;;Frankfurt;Germany;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;76.85;-22;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-23;2020-04-13;Bauwens, M.;10.1029/2020GL087978;;Hamburg;Germany;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;76.85;-20;13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-04;2020-03-25;Bauwens, M.;10.1029/2020GL087978;;Tehran;Iran;West Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;47.56;-4.5;19.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-04;2020-03-25;Bauwens, M.;10.1029/2020GL087978;;Isfahan;Iran;West Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;47.56;28;17.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-23;2020-03-15;Bauwens, M.;10.1029/2020GL087978;;Daegu;South Korea;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;55.31;-29;11.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-23;2020-03-15;Bauwens, M.;10.1029/2020GL087978;;Seoul;South Korea;East Asia;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;55.31;-36.5;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-24;2020-04-14;Bauwens, M.;10.1029/2020GL087978;;New York;USA;North America;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;55.31;-29.5;12.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-24;2020-04-14;Bauwens, M.;10.1029/2020GL087978;;Washington D.C.;USA;North America;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;55.31;-16.5;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-24;2020-04-14;Bauwens, M.;10.1029/2020GL087978;;Philadelphia;USA;North America;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;55.31;-17.5;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-24;2020-04-14;Bauwens, M.;10.1029/2020GL087978;;Chicago;USA;North America;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;55.31;-8;18.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-24;2020-04-14;Bauwens, M.;10.1029/2020GL087978;;Detroit;USA;North America;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Satellites;55.31;-22;16.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-25;2020-05-15;Bera, Biswajit;10.1007/s10668-020-00898-5;;Kolkata;India;South Asia;Accounting for Effects of Meteorology, Atmospheric Chemistry, and Long-term Trends;both;94.84;-47;23;20.56;3.37;10.66;;;;;;;;-28;11;0.67;0.13;0.36;;-37;18;36.36;1.55;16.86;;-38;13;;;;;;33;50.39;13.69;38.68;;-23;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-13;2020-04-21;Berman, Jesse D.;10.1016/j.scitotenv.2020.139864;Urban;other;USA;North America;Direct Comparison to a Reference Period;Ground-based;94.84;-25.95;;39.2;14.19;29.02;11.13;;;;;;;;;;;;;-4.7;;6.59;1.78;6.27;1.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-13;2020-04-21;Berman, Jesse D.;10.1016/j.scitotenv.2020.139864;Rural;other;USA;North America;Direct Comparison to a Reference Period;Ground-based;94.84;-16.53;;11.83;9.16;9.89;7.21;;;;;;;;;;;;;-2.63;;4.56;1.96;4.44;2.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
